pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
1 2 3 4 8 10	6	0	3	23	4	6	33	0.07	0.09	0.06	0.05	33	0.07
3 5	2	0	0	2	0	0	0	0.01	0	0	0	2	0.0
3 6	2	0	0	5	0	0	4	0.01	0	0	0.01	5	0.01
3 7	2	0	0	0	0	4	0	0	0	0.04	0	4	0.01
1 2 3 5 6 7 10	7	1	4	4	0	0	1	0.01	0	0	0.0	4	0.01
2 4 5 6 9 10	6	0	3	2	1	3	9	0.01	0.02	0.03	0.01	6	0.01
4 6 8 9 10	5	0	2	28	3	9	62	0.08	0.07	0.08	0.09	40	0.08
2 5 6 8 9 10	6	0	3	1	0	3	3	0.0	0	0.03	0.0	4	0.01
5 6 9 10	4	0	2	1	1	1	5	0.0	0.02	0.01	0.01	3	0.01
2 3 5 7 8 10	6	0	2	3	1	4	1	0.01	0.02	0.04	0.0	8	0.02
2 5 7 8	4	0	1	1	0	1	0	0.0	0	0.01	0	2	0.0
1 2 5 8	4	0	1	2	0	0	0	0.01	0	0	0	2	0.0
2 4 6 7 10	5	1	1	144	23	108	534	0.42	0.51	1.02	0.75	275	0.55
2	1	0	0	4	0	0	0	0.01	0	0	0	4	0.01
5 6 7 10	4	1	2	0	0	3	4	0	0	0.03	0.01	3	0.01
1 2 4 5 9	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 2 4 5 8	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 4 6 7 9	5	1	1	4	0	0	0	0.01	0	0	0	4	0.01
3 6 8 9 10	5	0	2	69	4	28	67	0.2	0.09	0.26	0.09	101	0.2
1 3 6 9 10	5	0	1	56	12	27	154	0.16	0.27	0.25	0.22	95	0.19
2 5 8 9 10	5	0	2	1	0	2	2	0.0	0	0.02	0.0	3	0.01
1 2 3 5 6 9	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
2 3 4 5 7 10	6	0	3	2	1	1	1	0.01	0.02	0.01	0.0	4	0.01
2 4 6 7 8 9 10	7	1	4	3	0	2	6	0.01	0	0.02	0.01	5	0.01
1 2 3 5 6 7	6	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 6	3	0	1	2	1	0	1	0.01	0.02	0	0.0	3	0.01
2 5 6 8 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 5	3	0	1	1	0	0	0	0.0	0	0	0	1	0.0
2 4 5 10	4	0	1	20	2	10	11	0.06	0.04	0.09	0.02	32	0.06
1 2 3 5 8 10	6	0	2	5	0	0	0	0.01	0	0	0	5	0.01
1 2 3 4 6 7 10	7	1	4	2	1	0	7	0.01	0.02	0	0.01	3	0.01
10	1	0	0	5	0	6	1	0.01	0	0.06	0.0	11	0.02
3 4 5 8 9 10	6	0	4	2	0	0	0	0.01	0	0	0	2	0.0
1 3 4 6 9 10	6	0	2	13	2	11	21	0.04	0.04	0.1	0.03	26	0.05
3 4 5 6 10	5	0	3	18	6	4	16	0.05	0.13	0.04	0.02	28	0.06
1 2 7 10	4	0	1	5	2	1	0	0.01	0.04	0.01	0	8	0.02
1 5 9 10	4	0	1	2	0	2	0	0.01	0	0.02	0	4	0.01
1 2 7 8 10	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 4 6 7 8	5	1	2	1	0	0	0	0.0	0	0	0	1	0.0
1 3 4 6 10	5	0	1	159	22	50	226	0.46	0.49	0.47	0.32	231	0.47
1 2 3 5 7	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
5 6 8 10	4	0	1	7	2	7	24	0.02	0.04	0.07	0.03	16	0.03
1 2 7 9 10	5	0	2	1	0	0	1	0.0	0	0	0.0	1	0.0
1 3 4 7 9 10	6	0	2	1	0	1	2	0.0	0	0.01	0.0	2	0.0
1 3 4 7 10	5	0	1	6	0	1	6	0.02	0	0.01	0.01	7	0.01
1 3 4 6 8 10	6	0	1	78	22	41	241	0.23	0.49	0.39	0.34	141	0.28
1 3 4 7 8 10	6	0	2	8	1	4	6	0.02	0.02	0.04	0.01	13	0.03
1 2 3 5 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 3 5 6 7 8 10	7	1	4	0	0	1	1	0	0	0.01	0.0	1	0.0
1 2 6 7 8 9 10	7	1	5	3	0	0	0	0.01	0	0	0	3	0.01
4 5 6 7 10	5	1	3	13	1	2	10	0.04	0.02	0.02	0.01	16	0.03
2 3 4 7 9 10	6	0	3	2	0	0	0	0.01	0	0	0	2	0.0
2 3 9 10	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 4 7 9	4	0	0	6	0	0	0	0.02	0	0	0	6	0.01
